instnm,Control of institution,Undergraduate offering,Carnegie Classification 2010: Undergraduate Instructional Program,Carnegie Classification 2010: Basic,Carnegie Classification 2010: Undergraduate Profile,Carnegie Classification 2010: Enrollment Profile,Carnegie Classification 2010: Size and Setting,Longitude location of institution,Latitude location of institution,Average net price (income 75-001-110-000)-students receiving Title IV Federal financial aid-2010-11,Average net price (income over 110-000)-students receiving Title IV Federal financial aid- 2010-11,percent graduates Computer and Information Sciences and Support Services,To Visit
Community College of the Air Force,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Special Use,Not classified,Exclusively undergraduate two-year,Not classified,-86.352056000000005,32.378278000000002,,,,
Alabama A & M University,Public,Undergraduate degree or certificate offering,Professions plus arts & sciences- some graduate coexistence,Master's Colleges and Universities (larger programs),Full-time four-year- inclusive,High undergraduate,Medium four-year- highly residential,-86.568501999999995,34.783367999999996,,,0.029999999999999999,
University of Alabama at Birmingham,Public,Undergraduate degree or certificate offering,Balanced arts & sciences/professions- high graduate coexistence,Research Universities (very high research activity),Medium full-time four-year- selective- higher transfer-in,Majority undergraduate,Large four-year- primarily nonresidential,-86.809169999999995,33.502229999999997,,,0.01,
Amridge University,Private not-for-profit,Undergraduate degree or certificate offering,Balanced arts & sciences/professions- high graduate coexistence,Baccalaureate Colleges--Arts & Sciences,Medium full-time four-year- inclusive,Majority undergraduate,Very small four-year- primarily nonresidential,-86.174009999999996,32.362608999999999,,,0.02,
University of Alabama at Huntsville,Public,Undergraduate degree or certificate offering,Professions plus arts & sciences- high graduate coexistence,Research Universities (very high research activity),Medium full-time four-year- selective- higher transfer-in,High undergraduate,Medium four-year- primarily nonresidential,-86.638419999999996,34.722817999999997,,,0.029999999999999999,
Alabama State University,Public,Undergraduate degree or certificate offering,Balanced arts & sciences/professions- some graduate coexistence,Master's Colleges and Universities (larger programs),Full-time four-year- inclusive,High undergraduate,Medium four-year- primarily residential,-86.295676999999998,32.364317,,,0.080000000000000002,
University of Alabama System Office,Public,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-87.560857999999996,33.212524999999999,,,,
The University of Alabama,Public,Undergraduate degree or certificate offering,Professions plus arts & sciences- high graduate coexistence,Research Universities (high research activity),Full-time four-year- selective- lower transfer-in,High undergraduate,Large four-year- primarily residential,-87.545766,33.214399999999998,,,0.0,
Central Alabama Community College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Rural-serving Medium,Medium full-time two-year,Exclusively undergraduate two-year,Small two-year,-85.94653000000001,32.924428999999996,,,,
Athens State University,Public,Undergraduate degree or certificate offering,Professions plus arts & sciences- no graduate coexistence,Baccalaureate Colleges--Diverse Fields,Higher part-time four-year,Exclusively undergraduate four-year,Small four-year- primarily nonresidential,-86.965140000000005,34.805624999999999,,,0.02,
Auburn University at Montgomery,Public,Undergraduate degree or certificate offering,Professions plus arts & sciences- some graduate coexistence,Master's Colleges and Universities (larger programs),Medium full-time four-year- selective- higher transfer-in,High undergraduate,Medium four-year- primarily nonresidential,-86.177351000000002,32.369939000000002,,,,
Auburn University,Public,Undergraduate degree or certificate offering,Professions plus arts & sciences- high graduate coexistence,Research Universities (high research activity),Full-time four-year- more selective- higher transfer-in,High undergraduate,Large four-year- primarily nonresidential,-85.492408999999995,32.600200999999998,,,0.0,
Birmingham Southern College,Private not-for-profit,Undergraduate degree or certificate offering,Arts & sciences plus professions- some graduate coexistence,Baccalaureate Colleges--Arts & Sciences,Full-time four-year- more selective- lower transfer-in,Very high undergraduate,Small four-year- highly residential,-86.853635999999995,33.515453000000001,19556.0,21766.0,0.029999999999999999,
Chattahoochee Valley Community College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Rural-serving Medium,Mixed part/full-time two-year,Exclusively undergraduate two-year,Small two-year,-85.031485000000004,32.423909999999999,,,,
Concordia College Selma,Private not-for-profit,Undergraduate degree or certificate offering,Professions focus- no graduate coexistence,Baccalaureate Colleges--Diverse Fields,Full-time four-year- inclusive,Exclusively undergraduate four-year,Very small four-year- highly residential,-87.024229000000005,32.422290999999994,,,,
South University-Montgomery,Private for-profit,Undergraduate degree or certificate offering,Associates Dominant,Baccalaureate/Associate's Colleges,Higher part-time four-year,Very high undergraduate,Very small four-year- primarily nonresidential,-86.216487999999998,32.342684000000006,,,0.20999999999999999,
Enterprise State Community College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Rural-serving Medium,Medium full-time two-year,Exclusively undergraduate two-year,Medium two-year,-85.836956000000001,31.297496000000002,,,,
James H Faulkner State Community College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Suburban-serving Multicampus,Medium full-time two-year,Exclusively undergraduate two-year,Medium two-year,-87.779758000000001,30.852045,,,,
Faulkner University,Private not-for-profit,Undergraduate degree or certificate offering,Professions focus- some graduate coexistence,Baccalaureate Colleges--Diverse Fields,Medium full-time four-year- selective- lower transfer-in,High undergraduate,Small four-year- primarily nonresidential,-86.216409999999996,32.384180999999998,19610.0,17841.0,0.01,
